Año,Semana_Epidemiologica,Trimestre,Distrito,Provincia,Ubigeo,Estacion_Climatica,Distancia_Estacion_km,Fuente_Clima,Casos_Total,Casos_Sin_Alarma,Casos_Con_Alarma,Casos_Graves,Nivel_Alerta,Tipo_Predominante,Edad_Media_Casos,Pct_Masculino,Temp_Max_C,Temp_Min_C,Temp_Media_C,Rango_Termico_C,Humedad_Media_Pct,Precipitacion_Total_mm,Precipitacion_Max_Dia_mm,Casos_Semana_Anterior,Casos_Hace_2_Semanas,Casos_Hace_3_Semanas,Casos_Hace_4_Semanas,Precip_Semana_Anterior_mm,Precip_Hace_2_Semanas_mm,Precip_Hace_3_Semanas_mm,Precip_Hace_4_Semanas_mm,Temp_Semana_Anterior_C,Temp_Hace_2_Semanas_C,Temp_Hace_3_Semanas_C,Temp_Hace_4_Semanas_C,Humedad_Semana_Anterior_Pct,Humedad_Hace_2_Semanas_Pct,Humedad_Hace_3_Semanas_Pct,Humedad_Hace_4_Semanas_Pct,Semana_Sin,Semana_Cos
2021,22,T2 (Abr-Jun),ANCON,LIMA,150102,PUENTE_PIEDRA,18.71,ERA5,1,1,0,0,Bajo (1-5),Sin alarma predomina,36.0,100.0,22.46,16.02,18.5,6.44,74.02,0.024,0.011,,,,,,,,,,,,,,,,,0.4647,-0.8855
2022,15,T2 (Abr-Jun),ANCON,LIMA,150102,PUENTE_PIEDRA,18.71,ERA5,1,0,1,0,Bajo (1-5),Con alarma predomina,67.0,0.0,24.45,16.44,19.36,8.01,70.54,0.005,0.003,1.0,,,,0.024,,,,18.5,,,,74.02,,,,0.9709,-0.2393
2023,11,T1 (Ene-Mar),ANCON,LIMA,150102,PUENTE_PIEDRA,18.71,ERA5,2,2,0,0,Bajo (1-5),Sin alarma predomina,31.5,0.0,26.97,20.56,22.98,6.41,71.46,1.931,0.699,1.0,1.0,,,0.005,0.024,,,19.36,18.5,,,70.54,74.02,,,0.9709,0.2393
2023,13,T1 (Ene-Mar),ANCON,LIMA,150102,PUENTE_PIEDRA,18.71,ERA5,5,5,0,0,Bajo (1-5),Sin alarma predomina,43.0,0.0,27.3,21.03,23.24,6.27,74.6,3.204,1.028,2.0,1.0,1.0,,1.931,0.005,0.024,,22.98,19.36,18.5,,71.46,70.54,74.02,,1.0,-0.0
2023,14,T2 (Abr-Jun),ANCON,LIMA,150102,PUENTE_PIEDRA,18.71,ERA5,13,12,1,0,Moderado (6-20),Sin alarma predomina,29.8,53.8,28.01,19.9,23.33,8.11,75.97,3.315,2.003,5.0,2.0,1.0,1.0,3.204,1.931,0.005,0.024,23.24,22.98,19.36,18.5,74.6,71.46,70.54,74.02,0.9927,-0.1205
2023,15,T2 (Abr-Jun),ANCON,LIMA,150102,PUENTE_PIEDRA,18.71,ERA5,14,10,4,0,Moderado (6-20),Sin alarma predomina,25.9,57.1,27.37,20.54,22.77,6.83,76.92,0.098,0.029,13.0,5.0,2.0,1.0,3.315,3.204,1.931,0.005,23.33,23.24,22.98,19.36,75.97,74.6,71.46,70.54,0.9709,-0.2393
2023,16,T2 (Abr-Jun),ANCON,LIMA,150102,PUENTE_PIEDRA,18.71,ERA5,19,17,2,0,Moderado (6-20),Sin alarma predomina,31.3,57.9,27.01,19.5,22.07,7.51,76.75,0.318,0.214,14.0,13.0,5.0,2.0,0.098,3.315,3.204,1.931,22.77,23.33,23.24,22.98,76.92,75.97,74.6,71.46,0.935,-0.3546
2023,17,T2 (Abr-Jun),ANCON,LIMA,150102,PUENTE_PIEDRA,18.71,ERA5,26,21,5,0,Alto (21-50),Sin alarma predomina,33.6,30.8,26.92,19.83,22.59,7.09,69.37,0.183,0.084,19.0,14.0,13.0,5.0,0.318,0.098,3.315,3.204,22.07,22.77,23.33,23.24,76.75,76.92,75.97,74.6,0.8855,-0.4647
2023,18,T2 (Abr-Jun),ANCON,LIMA,150102,PUENTE_PIEDRA,18.71,ERA5,48,41,6,1,Alto (21-50),Con casos graves,33.5,41.7,25.97,18.54,21.23,7.43,75.45,0.188,0.146,26.0,19.0,14.0,13.0,0.183,0.318,0.098,3.315,22.59,22.07,22.77,23.33,69.37,76.75,76.92,75.97,0.823,-0.5681
2023,19,T2 (Abr-Jun),ANCON,LIMA,150102,PUENTE_PIEDRA,18.71,ERA5,68,62,6,0,Crítico (>50),Sin alarma predomina,34.2,42.6,27.11,18.69,21.54,8.42,65.49,0.009,0.005,48.0,26.0,19.0,14.0,0.188,0.183,0.318,0.098,21.23,22.59,22.07,22.77,75.45,69.37,76.75,76.92,0.7485,-0.6631
